Nome real da conta,Nome da conta,Seguidores,Seguindo,Postagens
Ocupapolitica,ocupa_politica,490,861,114
Movimento Agora!,agoramovimento,6750,72,250
MUITAS - Cidade que Queremos,as_muitas,1187,255,72
Bancada Ativista,bancadaativista,3418,2691,135
RenovaBR,renovabr,22984,4515,137
M\u00eddia NINJA,midianinja,253293,477,9146
342 Artes,342artes,2649,3,105
MST Oficial,movimentosemterra,23210,35,378
MLB Brasil,movimentolutanosbairros,866,84,28
Uni\u00e3o Nacional dos Estudantes,uneoficial,34371,535,1607
CUT Brasil,cutbrasil,20552,428,856
Juntos!,coletivojuntos,5263,2670,592
Movimento Correnteza,movimentocorrenteza,854,538,72
Uni\u00e3o da Juventude Socialista,ujs_brasil,8939,387,910
Uni\u00e3o da Juventude Rebeli\u00e3o,ujr_brasil,978,4,82
Movimento Olga Benario Brasil,movimentoolga,1055,363,404
UBES,ubesoficial,11321,124,783
RUA Juventude Anticapitalista,rua_juventudeanticapitalista,38410,499,320
Afronte! Juventude Sem Medo,afronte.nacional,360,205,21
,contag,45,0,15
Geled\u00e9s,portalgeledes,32410,211,309
Marcha Mundial das Mulheres,marchamulheres,5101,298,386
N\u00e3o Me Kahlo,naokahlo,66526,87,462
Vem Pra Rua Brasil,vemprarua_br,93039,592,4627
Revoltados On Line,revoltadoson,22,1,0
Estudantes Pela Liberdade,estudantespelaliberdade,2297,138,42
MBL - Movimento Brasil Livre,mblivre,161541,74,1875
Luta eterna pela corrup\u00e7\u00e3o,movimentocontraacorrupcao,58,206,3
Luiz In\u00e1cio Lula da Silva,luizinacioluladasilvaoficial,237022,1,239
Fernando Haddad,fernandohaddadoficial,29073,3,38
Ciro Gomes,cirogomes,28845,0,0
Geraldo Alckmin,geraldoalckmin_,105790,26,3783
Jair Bolsonaro,jairmessiasbolsonaro,1106377,348,1259
Michel Temer,micheltemer,95565,104,609
Marina Silva,_marinasilva_,93720,68,766
Levy Fidelix,levyfidelix28,9668,53,166
Pastor Everaldo Pereira,pastoreveraldo,10655,300,1713
Fl\u00e1vio Rocha,flaviogr1,68312,1920,2236
robertoljustus,robertoljustus,1081920,152,1041
Guilherme Boulos,guilhermeboulos.oficial,55867,97,504
Jaques Wagner,jaqueswagner,21112,162,590
Fernando Collor,fernando_collor,13216,748,1390
Cristovam Buarque,buarquecristovam,9842,723,80
Jo\u00e3o Doria,jdoriajr,736183,144,2279
