Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Movimento Agora!,https://www.instagram.com/agoramovimento/,6814,71,258
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas/,1247,255,79
Bancada Ativista,https://www.instagram.com/bancadaativista/,3469,2689,135
RenovaBR,https://www.instagram.com/renovabr/,23169,2114,140
Mídia NINJA,https://www.instagram.com/midianinja/,255033,477,9228
342 Artes,https://www.instagram.com/342artes/,2658,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,24884,38,410
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,895,86,30
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,34477,669,1609
CUT Brasil,https://www.instagram.com/cutbrasil/,20755,428,858
Juntos!,https://www.instagram.com/coletivojuntos/,5295,2504,596
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,865,538,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9089,396,924
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,988,4,83
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1061,378,410
UBES,https://www.instagram.com/ubesoficial/,11362,124,793
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,38708,679,322
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,415,256,25
Geledés,https://www.instagram.com/portalgeledes/,32546,211,309
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5122,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,67280,89,464
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93204,592,4637
Revoltados On Line,https://www.instagram.com/revoltadoson/,22,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2298,138,42
