Nome,Posts,Seg
ocupa_politica,114,480
agoramovimento,230,6227
as_muitas,65,1083
bancadaativista,135,3216
renovabr,127,19793
midianinja,8746,248125
342artes,100,2622
movimentosemterra,335,20646
movimentolutanosbairros,26,791
uneoficial,1579,33882
cutbrasil,840,20032
coletivojuntos,574,5051
movimentocorrenteza,71,829
ujs_brasil,871,8194
ujr_brasil,80,954
movimentoolga,395,1038
ubesoficial,746,11207
ujcbrasil,142,1744
rua_juventudeanticapitalista,318,37218
afronte.nacional,13,261
contag,15,44
portalgeledes,307,31646
marchamulheres,382,4779
naokahlo,460,64792
vemprarua_br,4578,91874
revoltadoson,0,22
estudantespelaliberdade,42,2191
mblivre,1802,155982
movimentocontraacorrupcao,3,59
nasruasbrasil,277,5297
luizinacioluladasilvaoficial,220,225046
fernandohaddadoficial,37,26258
cirogomes,104,27522
jdoriajr,2259,742147
geraldoalckmin_,3740,105440
jairmessiasbolsonaro,1235,1077916
micheltemer,599,94748
_marinasilva_,749,91351
levyfidelix28,166,9729
pastoreveraldo,1705,10653
flaviogr1,2203,63842
robertoljustus,1030,1070548
guilhermeboulos.oficial,427,50454
jaqueswagner,584,20435
fernando_collor,1376,13034
buarquecristovam,80,8972
