Nome real da conta,Conta,Seguidores,Seguindo,Postagens
Movimento Agora!,https://www.instagram.com/agoramovimento/,6840,72,264
MUITAS - Cidade que Queremos,https://www.instagram.com/as_muitas/,1256,255,80
Bancada Ativista,https://www.instagram.com/bancadaativista/,3567,2689,135
RenovaBR,https://www.instagram.com/renovabr/,23737,5697,141
Mídia NINJA,https://www.instagram.com/midianinja/,257205,479,9286
342 Artes,https://www.instagram.com/342artes/,2658,3,105
MST Oficial,https://www.instagram.com/movimentosemterra/,26043,40,414
MLB Brasil,https://www.instagram.com/movimentolutanosbairros/,936,86,31
União Nacional dos Estudantes,https://www.instagram.com/uneoficial/,34819,2250,1613
CUT Brasil,https://www.instagram.com/cutbrasil/,20962,428,859
Juntos!,https://www.instagram.com/coletivojuntos/,5317,2361,604
Movimento Correnteza,https://www.instagram.com/movimentocorrenteza/,869,538,72
União da Juventude Socialista,https://www.instagram.com/ujs_brasil/,9243,398,936
União da Juventude Rebelião,https://www.instagram.com/ujr_brasil/,991,4,85
Movimento Olga Benario Brasil,https://www.instagram.com/movimentoolga/,1072,377,411
UBES,https://www.instagram.com/ubesoficial/,11389,126,800
RUA Juventude Anticapitalista,https://www.instagram.com/rua_juventudeanticapitalista/,38920,251,324
Afronte! Juventude Sem Medo,https://www.instagram.com/afronte.nacional/,436,261,30
Geledés,https://www.instagram.com/portalgeledes/,32647,211,311
Marcha Mundial das Mulheres,https://www.instagram.com/marchamulheres/,5134,298,388
Não Me Kahlo,https://www.instagram.com/naokahlo/,68026,90,467
Vem Pra Rua Brasil,https://www.instagram.com/vemprarua_br/,93362,592,4649
Revoltados On Line,https://www.instagram.com/revoltadoson/,21,1,0
Estudantes Pela Liberdade,https://www.instagram.com/estudantespelaliberdade/,2300,138,42
