username,Data,stories
ocupa_politica,15/5/2018-23:40,0
agoramovimento,15/5/2018-23:40,5
as_muitas,15/5/2018-23:40,0
bancadaativista,15/5/2018-23:40,0
renovabr,15/5/2018-23:40,0
midianinja,15/5/2018-23:40,5
342artes,15/5/2018-23:40,0
movimentosemterra,15/5/2018-23:40,1
movimentolutanosbairros,15/5/2018-23:40,0
uneoficial,15/5/2018-23:40,3
cutbrasil,15/5/2018-23:40,0
coletivojuntos,15/5/2018-23:40,0
movimentocorrenteza,15/5/2018-23:40,0
ujs_brasil,15/5/2018-23:40,3
ujr_brasil,15/5/2018-23:40,0
movimentoolga,15/5/2018-23:40,0
ubesoficial,15/5/2018-23:40,1
ujcbrasil,15/5/2018-23:40,0
rua_juventudeanticapitalista,15/5/2018-23:40,0
afronte.nacional,15/5/2018-23:40,2
contag,15/5/2018-23:40,0
portalgeledes,15/5/2018-23:40,0
marchamulheres,15/5/2018-23:40,0
naokahlo,15/5/2018-23:40,0
vemprarua_br,15/5/2018-23:40,0
revoltadoson,15/5/2018-23:40,0
estudantespelaliberdade,15/5/2018-23:40,0
mblivre,15/5/2018-23:40,10
movimentocontraacorrupcao,15/5/2018-23:40,0
nasruasbrasil,15/5/2018-23:40,0
luizinacioluladasilvaoficial,15/5/2018-23:40,0
fernandohaddadoficial,15/5/2018-23:40,0
cirogomes,15/5/2018-23:40,0
jdoriajr,15/5/2018-23:40,8
geraldoalckmin_,15/5/2018-23:40,0
jairmessiasbolsonaro,15/5/2018-23:40,2
micheltemer,15/5/2018-23:40,3
_marinasilva_,15/5/2018-23:40,0
levyfidelix28,15/5/2018-23:40,0
pastoreveraldo,15/5/2018-23:40,0
robertoljustus,15/5/2018-23:40,1
guilhermeboulos.oficial,15/5/2018-23:40,21
jaqueswagner,15/5/2018-23:40,0
fernando_collor,15/5/2018-23:40,1
buarquecristovam,15/5/2018-23:40,0
