username,Data,stories
ocupa_politica,15/5/2018-9:42,0
agoramovimento,15/5/2018-9:42,16
as_muitas,15/5/2018-9:42,0
bancadaativista,15/5/2018-9:42,0
renovabr,15/5/2018-9:42,1
midianinja,15/5/2018-9:42,2
342artes,15/5/2018-9:42,0
movimentosemterra,15/5/2018-9:42,0
movimentolutanosbairros,15/5/2018-9:42,0
uneoficial,15/5/2018-9:42,2
cutbrasil,15/5/2018-9:42,0
coletivojuntos,15/5/2018-9:42,6
movimentocorrenteza,15/5/2018-9:42,0
ujs_brasil,15/5/2018-9:42,0
ujr_brasil,15/5/2018-9:42,0
movimentoolga,15/5/2018-9:42,0
ubesoficial,15/5/2018-9:42,0
ujcbrasil,15/5/2018-9:42,0
rua_juventudeanticapitalista,15/5/2018-9:42,1
afronte.nacional,15/5/2018-9:42,1
contag,15/5/2018-9:42,0
portalgeledes,15/5/2018-9:42,0
marchamulheres,15/5/2018-9:42,0
naokahlo,15/5/2018-9:42,5
vemprarua_br,15/5/2018-9:42,0
revoltadoson,15/5/2018-9:42,0
